"Gioco","Piattaforma","VotoMetacritic","UserScore","Genre","Players"
A BOY AND HIS BLOB,PS4,66,63,Action,No Online Multiplayer
ABZÛ,PS4,78,76,Fantasy,No Online Multiplayer
ACES OF THE LUFTWAFFE,PS4,-1,40,General,N/A
ACT IT OUT! A GAME OF CHARADES,PS4,-1,-1,Miscellaneous,N/A
ACTION HENK,PS4,73,52,Action,N/A
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,62,62,Action Adventure,No Online Multiplayer
AGATHA CHRISTIE - THE ABC MURDERS,PS4,67,59,Adventure,N/A
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,-1,-1,Simulation,N/A
AIR CONFLICTS: PACIFIC CARRIERS,PS4,-1,46,Simulation,Up to 8 
ALCHEMIC JOUSTS,PS4,65,63,Strategy,2 
ALIENATION,PS4,79,78,Sci-Fi,Up to 4 
AMAZING DISCOVERIES IN OUTER SPACE,PS4,71,57,Action,N/A
ANOMALY 2,PS4,74,69,Strategy,N/A
ANODYNE,PS4,-1,-1,Adventure,No Online Multiplayer
APE ESCAPE 2,PS2,82,82,Action,1 Player
ARAGAMI,PS4,71,71,Action Adventure,2 
ARC THE LAD: TWILIGHT OF THE SPIRITS,PS2,72,84,Role-Playing,1 Player
ASSAULT SUIT LEYNOS,PS4,67,69,Action,N/A
ASSETTO CORSA,PS4,73,60,Racing,Up to 16 
ATARI FLASHBACK CLASSICS VOL 1,PS4,70,67,Miscellaneous,Up to 4 
ATARI FLASHBACK CLASSICS VOL. 2,PS4,68,64,Miscellaneous,Up to 4 
ALEX KIDD IN THE MIRACLE WORLD,PS3,-1,74,Action,N/A
ALIEN RAGE,PS3,-1,77,Action,N/A
ALIEN SPIDY,PS3,-1,-1,Action,N/A
ALTERED BEAST,PS3,-1,-1,Action,2 
ANARCHY: RUSH HOUR,PS3,59,46,Driving,N/A
ANNA EXTENDED EDITION,PS3,-1,25,Adventure,N/A
ANOMALY WARZONE EARTH,PS3,78,70,Action,N/A
AQUA PANIC!,PS3,-1,-1,Miscellaneous,N/A
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,67,78,Role-Playing,No Online Multiplayer
ARCANA HEART 3,PS3,73,68,Action,Up to 6 
ARCANIA THE COMPLETE TALE,PS3,42,46,PC-style RPG,No Online Multiplayer
ARMAGEDDON RIDERS,PS3,62,63,Driving,N/A
ASURA'S WRATH,PS3,71,74,Action Adventure,1 Player
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,70,77,Role-Playing,No Online Multiplayer
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,79,83,General,No Online Multiplayer
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS3,80,79,Role-Playing,No Online Multiplayer
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,76,77,Role-Playing,No Online Multiplayer
BACK TO BED,PS4,62,52,Action,N/A
BAJA: EDGE OF CONTROL HD,PS4,65,63,Racing,Up to 16 
BARD'S GOLD,PS4,64,73,Action,N/A
BASEBALL RIOT,PS4,-1,-1,Puzzle,N/A
BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS,PS4,70,64,Adventure,N/A
BATTALION COMMANDER,PS4,-1,-1,Action,N/A
BATTLE CHASERS: NIGHTWAR,PS4,75,67,Role-Playing,No Online Multiplayer
BATTLE WORLDS KRONOS,PS4,62,60,Strategy,N/A
BATTLEBORN,PS4,68,68,Sci-Fi,Up to 10 
BEN 10,PS4,56,58,Action,No Online Multiplayer
BEYOND: TWO SOULS,PS4,72,80,Adventure,No Online Multiplayer
BINARIES,PS4,71,-1,Action,N/A
BLACK MIRROR,PS4,54,57,Adventure,No Online Multiplayer
BLAST 'EM BUNNIES,PS4,-1,-1,Action,N/A
BLAZBLUE CHRONOPHANTASMA EXTEND,PS4,80,76,Action,Up to 64 
BLOOD BOWL 2,PS4,72,70,Sports,2 
BLOODBORNE,PS4,92,89,Fantasy,Up to 5 
BOKOSUKA WARS II,PS4,-1,-1,Strategy,N/A
BORDERLANDS: THE HANDSOME COLLECTION,PS4,82,78,Miscellaneous,Up to 4 
BOUND,PS4,71,70,Action,N/A
BOUND BY FLAME,PS4,53,58,Role-Playing,No Online Multiplayer
BRAWLOUT,PS4,61,57,Beat-'Em-Up,2 
BROKEN AGE,PS4,81,72,Third-Person,No Online Multiplayer
BROTHERS: A TALE OF TWO SONS,PS4,81,80,Action Adventure,N/A
BRUT@L,PS4,67,60,Action Adventure,N/A
BUBSY: THE WOOLIES STRIKE BACK,PS4,45,58,Action,No Online Multiplayer
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR,PS3,91,88,Action Adventure,No Online Multiplayer
BATMAN: ARKHAM CITY,PS3,96,87,Action Adventure,No Online Multiplayer
BATMAN: ARKHAM ORIGINS,PS3,76,78,Action Adventure,No Online Multiplayer
BATTLE PRINCESS OF ARCADIAS,PS3,69,79,Role-Playing,N/A
BATTLE VS CHESS,PS3,-1,-1,Miscellaneous,2 
BATTLEFIELD 4,PS3,80,59,Action,Up to 22 
BATTLEFIELD™ HARDLINE,PS3,-1,54,Modern,Up to 24 
BENTLEY'S HACKPACK,PS3,-1,74,Miscellaneous,N/A
BIG SKY:INFINITY,PS3,-1,53,Action,N/A
BIONIC COMMANDO REARMED,PS3,87,79,Action,4  Online
BIONIC COMMANDO REARMED 2,PS3,63,51,Action,1 Player
BIOSHOCK,PS3,94,88,Action,No Online Multiplayer
BIOSHOCK 2,PS3,88,82,Action,Up to 10 
BIOSHOCK INFINITE,PS3,94,85,Action,No Online Multiplayer
BLACK KNIGHT SWORD,PS3,66,66,Action,N/A
BLADESTORM - NIGHTMARE,PS3,-1,76,Action,2 
BLADESTORM: THE HUNDRED YEARS' WAR,PS3,58,79,Action,No Online Multiplayer
BLAZBLUE CALAMITY TRIGGER,PS3,87,85,Action,Up to 6 
BLAZBLUE CHRONOPHANTASMA,PS3,83,82,Fighting,Up to 8 
BLAZBLUE CONTINUUM SHIFT,PS3,87,81,Action,N/A
BLAZBLUE CONTINUUM SHIFT EXTEND,PS3,73,75,Action,N/A
BLAZERUSH,PS3,70,82,Driving,Up to 8 
BLOOD KNIGHTS,PS3,-1,47,Role-Playing,N/A
BLOODRAYNE BETRAYAL,PS3,69,63,Action,N/A
